town,jud,roma,roma_above_median
OGRA,MURES,0.28502024291498,1
SALONTA,BIHOR,0.0228043828911508,1
CAREI,SATU MARE,0.0212688602072351,1
MEDIAS,SIBIU,0.0388928174563087,1
DROBETA-TURNU SEVERIN,MEHEDINTI,0.00573493437814026,0
BUCURESTI,BUCURESTI,0.0127187273323463,1
BARLAD,VASLUI,0.0158615004122012,1
ARAD,ARAD,0.015784484603859,1
CODLEA,BRASOV,0.0490268970041548,1
JOSENI,HARGHITA,0.00865020724454857,1
BACIA,HUNEDOARA,0.00425531914893617,0
GHERLA,CLUJ,0.0328575874794362,1
IASI,IASI,0.00461806716354316,0
BAILE HERCULANE,CARAS-SEVERIN,0.0219280916633742,1
SUCEAVA,SUCEAVA,0.00615512118210669,0
CRAIOVA,DOLJ,0.0200611325030765,1
HOREZU,VALCEA,0.0121107266435986,1
COSTACHE NEGRI,GALATI,0.00037147102526003,0
MOARA,SUCEAVA,0,0
MANGALIA,CONSTANTA,0.00443665152360458,0
SLOBOZIA,IALOMITA,0.0266513356466747,1
MORENI,DAMBOVITA,0.0159736042735938,1
BISTRITA,BISTRITA-NASAUD,0.0208769283176797,1
PITESTI,ARGES,0.00523976060882201,0
CALARASI,CALARASI,0.0313814918346329,1
BACAU,BACAU,0.00804063913393598,1
LUGOJ,TIMIS,0.0227842659597335,1
CONSTANTA,CONSTANTA,0.00791259257216147,1
CUMPANA,CONSTANTA,0.0169451819459628,1
DUMESTI,IASI,0,0
POSTA CALNAU,BUZAU,0.0127367733507511,1
FAGARAS,BRASOV,0.0323064913228848,1
TARGU MURES,MURES,0.0225717899335997,1
TARGU JIU,GORJ,0.0311957209409329,1
PASCANI,IASI,0.0139510397473019,1
BACIU,CLUJ,0.0660626651566629,1
TARGOVISTE,DAMBOVITA,0.033276736029348,1
VULTURENI,BACAU,0.0018984337921215,0
FLORESTI,CLUJ,0.048968740620042,1
ORADEA,BIHOR,0.01063079676737,1
GARDANI,MARAMURES,0,0
RAMNICU VALCEA,VALCEA,0.012389446579841,1
GALDA DE JOS,ALBA,0.00271682340647858,0
FIENI,DAMBOVITA,0.00314795383001049,0
LEHLIU GARA,CALARASI,0.142181540808543,1
MARACINENI,ARGES,0.014404432132964,1
PLOIESTI,PRAHOVA,0.023673371271132,1
GLINA,ILFOV,0.192968206080297,1
CAMPINA,PRAHOVA,0.018405081957915,1
BELTIUG,SATU MARE,0.179876160990712,1
SAVINESTI,NEAMT,0.0263321907136179,1
BUZAU,BUZAU,0.0456143778081657,1
CALAFAT,DOLJ,0.0524164193313547,1
BAIA MARE,MARAMURES,0.0242448176799003,1
GALAUTAS,HARGHITA,0.010916179337232,1
SNAGOV,ILFOV,0.000821580172531836,0
BUCOV,PRAHOVA,0.048404740200547,1
ALEXANDRIA,TELEORMAN,0.0198271479410269,1
TICHILESTI,BRAILA,0.0286425902864259,1
BOTOSANI,BOTOSANI,0.0113163348049374,1
SAULESTI,GORJ,0,0
VANJU MARE,MEHEDINTI,0.0243607463718037,1
ZALAU,SALAJ,0.0130313930673643,1
CRANGURILE,DAMBOVITA,0.219960970170059,1
BALTENI,GORJ,0.026343381389253,1
ROMAN,NEAMT,0.0251855147537858,1
CIOCHINA,IALOMITA,0.00587871287128713,0
SANANDREI,TIMIS,0.00448507848887356,0
VIDRA,ILFOV,0.123373898447335,1
1 DECEMBRIE,ILFOV,0.0613868889730959,1
VALCELE,OLT,0,0
STEFANESTII DE JOS,ILFOV,0.155270901852172,1
CLUJ-NAPOCA,CLUJ,0.00995949288436951,1
BERESTI,GALATI,0.00369458128078818,0
PIATRA NEAMT,NEAMT,0.00907256988547215,1
SIRNA,PRAHOVA,0.012467840886602,1
TINCA,BIHOR,0.146613246525604,1
SACELE,BRASOV,0.0102453325104151,1
BUDESTI,VALCEA,0.0105478053759782,1
DEVA,HUNEDOARA,0.0119294524927098,1
CHIAJNA,ILFOV,0.00383035030294589,0
CHITILA,ILFOV,0.0379465834200486,1
DOROLT,SATU MARE,0.0661417322834646,1
GURA VADULUI,PRAHOVA,0.00042247570764681,0
BRADUT,COVASNA,0.132986472424558,1
COMANA,CONSTANTA,0,0
VISTEA,BRASOV,0.108563406644829,1
CAIANU,CLUJ,0.0250104210087537,1
DABULENI,DOLJ,0.0126612709351711,1
VALEA LUPULUI,IASI,0,0
BRAILA,BRAILA,0.0108123604939283,1
ALBESTI,BOTOSANI,0.0351727372205722,1
TIMISOARA,TIMIS,0.00720063761371236,0
MODELU,CALARASI,0.0189898588188507,1
JEGALIA,CALARASI,0.000232126276694522,0
STEFESTI,PRAHOVA,0.0016750418760469,0
HOLBOCA,IASI,0.0195297541548595,1
STANCENI,MURES,0,0
SANTANA DE MURES,MURES,0.0669550173010381,1
CIOROGARLA,ILFOV,0.0547703180212014,1
TUZLA,CONSTANTA,0,0
SAG,TIMIS,0.00856055802155992,1
CURTEA DE ARGES,ARGES,0.00281498738109105,0
MANECIU,PRAHOVA,0.00230861575399391,0
MIHAIL KOGALNICEANU,CONSTANTA,0.0265880305520642,1
PODENII NOI,PRAHOVA,0.0659785468528638,1
VLADESTI,ARGES,0.0942928039702233,1
STEFAN CEL MARE,CALARASI,0,0
LAZURI,SATU MARE,0.0321052631578947,1
DUMBRAVA,PRAHOVA,0.1651904340124,1
HINOVA,MEHEDINTI,0.000343997248022016,0
REMETEA,BIHOR,0.0550033134526176,1
POIANA LACULUI,ARGES,0.000887180245453201,0
MOIECIU,BRASOV,0,0
MAGURA,BACAU,0.000645577792123951,0
PRUNDU BARGAULUI,BISTRITA-NASAUD,0.00187911055433761,0
GENERAL BERTHELOT,HUNEDOARA,0.0107874865156419,1
SCHEIA,SUCEAVA,0.0358666937614306,1
TURIA,COVASNA,0.000248323814253787,0
PREDEAL,BRASOV,0.00423301753678694,0
BALTATI,IASI,0.000766871165644172,0
ARONEANU,IASI,0,0
DRAGANESTI,PRAHOVA,0.0382040173296573,1
COCORASTII MISLII,PRAHOVA,0.00120156203063983,0
PARSCOV,BUZAU,0.0112847222222222,1
GROSI,MARAMURES,0.00067842605156038,0
ALESD,BIHOR,0.115011764705882,1
SCHELA,GALATI,0,0
LOVRIN,TIMIS,0.0327673518022044,1
ZEMES,BACAU,0.000211954217888936,0
FOCSANI,VRANCEA,0.0118903472659466,1
MALDAENI,TELEORMAN,0,0
VALEA CHIOARULUI,MARAMURES,0.0825426944971537,1
CRISTIAN,BRASOV,0.000643224699828474,0
VASLUI,VASLUI,0.0130322995339868,1
IANCA,OLT,0.018308406395049,1
SLATINA,OLT,0.0243140120149375,1
TULNICI,VRANCEA,0.0203814998693494,1
LUNCA CORBULUI,ARGES,0,0
CRISTESTI,MURES,0.101979201610198,1
RUGINESTI,VRANCEA,0.00719246031746032,0
SATU MARE,SATU MARE,0.0118774264346511,1
TINTESTI,BUZAU,0.0468611847922193,1
BALOTESTI,ILFOV,0.0327672805548912,1
STEFAN VODA,CALARASI,0.0246075519728468,1
MAGESTI,BIHOR,0.0559593023255814,1
FUNDENI,CALARASI,0.0895627644569817,1
DARMANESTI,DAMBOVITA,0.0143695608176483,1
GIARMATA,TIMIS,0.0163984674329502,1
BRADU,ARGES,0.012069674941709,1
BRAZI,PRAHOVA,0.00108407612623464,0
MURFATLAR,CONSTANTA,0.0262261893806938,1
JOITA,GIURGIU,0.0140772971589455,1
STOENESTI,ARGES,0.119016249451032,1
BELINT,TIMIS,0.00242886884108258,0
GOLAIESTI,IASI,0.000263643553915107,0
HALMAGIU,ARAD,0.00101626016260163,0
BERTEA,PRAHOVA,0,0
