jud,rural,roma,II1,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
MURES,1,,89,2,1,2,0,1,0,0,0,0,0,0
BIHOR,0,0.0228043828911508,50,1,1,2,1,0,0,1,1,0,0,0
SATU MARE,0,0.0212688602072351,50,1,1,3,,,,,,,0,0
SIBIU,0,0.0388928174563087,43,1,3,2,1,1,0,0,1,0,0,0
MEHEDINTI,0,0.00573493437814026,12,1,3,2,1,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,44,3,3,2,0,0,1,1,1,1,0,0
VASLUI,0,0.0158615004122012,13,1,3,1,1,0,0,0,1,0,0,0
ARAD,0,0.015784484603859,89,2,3,2,0,0,0,0,0,1,0,0
BRASOV,0,0.0490268970041548,9,2,3,2,1,0,0,1,0,1,0,0
HARGHITA,1,,12,2,1,1,1,0,1,1,1,0,0,1
HUNEDOARA,1,,91,1,1,2,0,1,0,0,0,0,0,0
CLUJ,0,0.0328575874794362,28,1,3,2,0,0,0,0,1,1,0,0
IASI,0,0.00461806716354316,43,1,1,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0219280916633742,25,2,1,2,1,1,1,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,63,3,3,3,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,24,3,3,2,1,1,0,1,0,0,0,0
DOLJ,0,0.0200611325030765,10,1,3,3,,,,,,,0,0
VALCEA,0,0.0121107266435986,45,3,3,2,0,0,0,1,0,0,0,0
GALATI,1,,74,1,3,2,0,1,0,0,0,0,0,0
SUCEAVA,1,,89,2,1,2,0,0,1,0,1,0,0,0
CONSTANTA,0,0.00443665152360458,50,2,1,4,,,,,,,0,0
IALOMITA,0,0.0266513356466747,20,1,1,3,,,,,,,0,0
DAMBOVITA,0,0.0159736042735938,14,1,1,1,1,1,0,1,1,0,0,0
BISTRITA-NASAUD,0,0.0208769283176797,23,1,3,1,1,1,0,0,0,0,0,0
ARGES,0,0.00523976060882201,52,2,3,2,0,0,0,0,0,1,0,0
CALARASI,0,0.0313814918346329,20,1,2,2,0,1,0,0,1,0,0,0
BACAU,0,0.00804063913393598,40,1,1,4,,,,,,,0,0
IASI,0,0.00461806716354316,89,2,1,2,0,0,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,40,3,1,4,,,,,,,0,0
TIMIS,0,0.0227842659597335,28,2,2,1,0,1,0,0,0,0,0,0
CONSTANTA,0,0.00791259257216147,10,1,3,1,1,1,0,0,1,0,0,0
CONSTANTA,1,,20,2,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,71,3,1,2,0,1,1,0,0,0,0,0
IASI,1,,60,3,3,1,1,1,1,0,1,0,0,0
BUZAU,1,,24,1,1,1,0,0,1,0,1,1,0,0
BRASOV,0,0.0323064913228848,52,1,3,3,,,,,,,0,0
MURES,0,0.0225717899335997,5,3,1,2,1,0,0,1,0,1,0,0
GORJ,0,0.0311957209409329,12,1,3,3,,,,,,,0,0
IASI,0,0.0139510397473019,20,1,1,2,1,1,1,0,1,0,0,0
CLUJ,1,,61,1,1,2,1,1,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,19,2,1,2,1,0,0,0,0,0,0,0
DAMBOVITA,0,0.033276736029348,5,2,3,3,,,,,,,0,0
BACAU,1,,9,1,1,2,0,1,0,0,0,0,0,0
CONSTANTA,0,0.00791259257216147,21,1,1,2,1,1,0,0,1,0,0,0
CLUJ,1,,25,2,1,2,0,0,0,0,1,0,0,0
ARGES,0,0.00523976060882201,15,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,89,2,1,3,,,,,,,0,0
BIHOR,0,0.01063079676737,10,3,3,2,1,1,0,0,1,1,1,0
MARAMURES,1,,41,3,1,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,40,2,3,3,,,,,,,0,0
VALCEA,0,0.012389446579841,21,3,2,3,,,,,,,0,0
