jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
CLUJ,0,0.00995949288436951,56,2,3,3,3,3,,,,,,,0,0
ARGES,0,0.00523976060882201,22,2,1,2,2,2,0,0,0,1,0,0,0,0
DOLJ,1,,10,2,1,3,3,2,1,1,0,0,1,0,0,0
PRAHOVA,1,,15,2,2,3,3,2,1,0,0,0,1,0,0,0
SALAJ,0,0.0130313930673643,18,2,2,3,3,3,,,,,,,0,0
IALOMITA,0,0.0266513356466747,46,1,1,3,3,2,1,0,0,1,1,1,0,0
PRAHOVA,0,0.018405081957915,51,4,1,2,3,2,1,0,0,0,0,0,0,0
DAMBOVITA,0,0.033276736029348,62,4,4,3,4,5,,,,,,,0,0
TIMIS,1,,50,3,4,2,1,1,0,1,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,20,3,3,1,1,2,1,0,0,0,0,0,0,0
GALATI,0,0.00635418635418635,27,4,4,1,3,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,15,2,1,3,3,3,,,,,,,0,0
ARGES,1,,11,1,2,2,1,2,1,1,0,1,0,1,0,0
BUZAU,0,0.0782041214221885,27,1,3,1,1,4,,,,,,,0,0
HUNEDOARA,0,0.015650283171521,39,2,2,2,1,4,,,,,,,0,0
BRAILA,1,,50,4,2,1,3,3,,,,,,,0,0
MEHEDINTI,0,0.00573493437814026,39,1,2,3,1,3,,,,,,,0,0
PRAHOVA,0,0.00901390939466936,40,2,2,1,3,2,0,0,1,1,1,0,0,0
SIBIU,1,,53,1,2,2,1,2,1,0,0,0,0,0,0,0
TIMIS,0,0.00720063761371236,20,3,1,2,1,2,0,1,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,10,1,2,1,1,1,0,1,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,21,3,4,1,2,2,1,0,0,0,1,0,0,0
BUZAU,1,,80,3,2,3,3,2,1,0,0,0,0,0,0,0
HUNEDOARA,0,0.0136020151133501,23,4,2,1,1,2,0,0,0,0,1,1,0,0
SIBIU,0,0.00387084962533837,6,3,4,1,3,3,,,,,,,0,0
BRAILA,0,0.0108123604939283,92,1,2,2,3,2,1,0,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,40,3,1,3,3,2,1,1,0,0,0,0,0,0
MARAMURES,0,0.0125493371116284,15,1,2,3,1,2,0,0,0,1,1,1,0,0
ARGES,0,0.00523976060882201,89,3,3,1,1,2,1,1,0,0,0,0,0,0
PRAHOVA,0,0.023673371271132,30,3,3,3,1,2,0,0,0,0,1,0,0,0
TELEORMAN,0,0.0167676628563559,0,4,4,2,4,3,,,,,,,0,0
MURES,0,0.0225717899335997,44,3,1,1,1,1,1,1,1,0,0,0,0,0
IASI,0,0.0139510397473019,66,2,2,3,3,2,1,1,1,1,1,1,0,0
SALAJ,0,0.0130313930673643,70,1,2,2,1,2,0,0,0,0,1,0,0,0
BIHOR,1,,50,4,1,1,3,2,1,1,0,1,1,1,0,0
VALCEA,0,0.012389446579841,12,1,2,1,3,2,0,0,1,0,1,0,0,0
VRANCEA,1,,6,1,2,1,1,1,1,0,0,0,0,0,0,0
MURES,0,0.0225717899335997,12,1,3,1,3,1,1,1,0,0,0,0,0,0
ARGES,0,0.00523976060882201,40,1,1,2,3,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,37,2,1,3,3,3,,,,,,,0,1
DAMBOVITA,0,0.033276736029348,27,2,1,2,3,3,,,,,,,0,0
ARAD,0,0.015784484603859,3,1,2,3,1,3,,,,,,,0,0
BRASOV,0,0.00187336080929187,20,2,1,1,3,3,,,,,,,0,0
OLT,0,0.0243140120149375,60,4,2,3,1,5,,,,,,,0,0
IASI,0,0.00461806716354316,11,2,2,3,3,2,1,1,1,0,0,0,0,0
SUCEAVA,0,0.00615512118210669,48,2,2,3,3,2,1,0,1,0,1,0,0,0
SIBIU,1,,71,1,1,1,2,3,,,,,,,0,0
ALBA,1,,32,1,2,3,3,2,0,0,0,0,1,0,0,0
BUZAU,0,0.0782041214221885,17,3,2,1,3,2,1,1,1,0,1,1,0,0
TIMIS,0,0.00720063761371236,74,3,3,1,2,3,,,,,,,0,1
ILFOV,0,0.00708771613019728,20,1,3,1,3,3,,,,,,,0,0
NEAMT,0,0.0165117658690923,3,1,4,1,1,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,20,2,1,1,3,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,15,3,3,3,3,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,60,2,1,3,2,3,,,,,,,0,0
IASI,0,0.0139510397473019,15,4,2,3,3,2,1,0,0,0,0,0,0,0
MURES,0,0.0225717899335997,21,1,2,2,1,2,1,1,0,1,1,0,0,0
SUCEAVA,0,0.0164506815282347,14,2,1,3,3,1,0,1,0,1,1,1,0,0
