sort,jud,den_jud,auto,reg,den_reg,macro,den_macro
1,1,"ALBA","AB",7,"CENTRU",1,"MACROREGIUNEA 1"
2,2,"ARAD","AR",5,"VEST",4,"MACROREGIUNEA 4"
3,3,"ARGES","AG",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
4,4,"BACAU","BC",1,"NORD-EST",2,"MACROREGIUNEA 2"
5,5,"BIHOR","BH",6,"NORD-VEST",1,"MACROREGIUNEA 1"
6,6,"BISTRITA-NASAUD","BN",6,"NORD-VEST",1,"MACROREGIUNEA 1"
7,7,"BOTOSANI","BT",1,"NORD-EST",2,"MACROREGIUNEA 2"
8,8,"BRASOV","BV",7,"CENTRU",1,"MACROREGIUNEA 1"
9,9,"BRAILA","BR",2,"SUD-EST",2,"MACROREGIUNEA 2"
10,10,"BUZAU","BZ",2,"SUD-EST",2,"MACROREGIUNEA 2"
11,11,"CARAS-SEVERIN","CS",5,"VEST",4,"MACROREGIUNEA 4"
12,51,"CALARASI","CL",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
13,12,"CLUJ","CJ",6,"NORD-VEST",1,"MACROREGIUNEA 1"
14,13,"CONSTANTA","CT",2,"SUD-EST",2,"MACROREGIUNEA 2"
15,14,"COVASNA","CV",7,"CENTRU",1,"MACROREGIUNEA 1"
16,15,"DAMBOVITA","DB",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
17,16,"DOLJ","DJ",4,"SUD-VEST OLTENIA",4,"MACROREGIUNEA 4"
18,17,"GALATI","GL",2,"SUD-EST",2,"MACROREGIUNEA 2"
19,52,"GIURGIU","GR",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
20,18,"GORJ","GJ",4,"SUD-VEST OLTENIA",4,"MACROREGIUNEA 4"
21,19,"HARGHITA","HR",7,"CENTRU",1,"MACROREGIUNEA 1"
22,20,"HUNEDOARA","HD",5,"VEST",4,"MACROREGIUNEA 4"
23,21,"IALOMITA","IL",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
24,22,"IASI","IS",1,"NORD-EST",2,"MACROREGIUNEA 2"
25,23,"ILFOV","IF",8,"BUCURESTI-ILFOV",3,"MACROREGIUNEA 3"
26,24,"MARAMURES","MM",6,"NORD-VEST",1,"MACROREGIUNEA 1"
27,25,"MEHEDINTI","MH",4,"SUD-VEST OLTENIA",4,"MACROREGIUNEA 4"
28,26,"MURES","MS",7,"CENTRU",1,"MACROREGIUNEA 1"
29,27,"NEAMT","NT",1,"NORD-EST",2,"MACROREGIUNEA 2"
30,28,"OLT","OT",4,"SUD-VEST OLTENIA",4,"MACROREGIUNEA 4"
31,29,"PRAHOVA","PH",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
32,30,"SATU MARE","SM",6,"NORD-VEST",1,"MACROREGIUNEA 1"
33,31,"SALAJ","SJ",6,"NORD-VEST",1,"MACROREGIUNEA 1"
34,32,"SIBIU","SB",7,"CENTRU",1,"MACROREGIUNEA 1"
35,33,"SUCEAVA","SV",1,"NORD-EST",2,"MACROREGIUNEA 2"
36,34,"TELEORMAN","TR",3,"SUD-MUNTEANIA",3,"MACROREGIUNEA 3"
37,35,"TIMIS","TM",5,"VEST",4,"MACROREGIUNEA 4"
38,36,"TULCEA","TL",2,"SUD-EST",2,"MACROREGIUNEA 2"
39,37,"VASLUI","VS",1,"NORD-EST",2,"MACROREGIUNEA 2"
40,38,"VALCEA","VL",4,"SUD-VEST OLTENIA",4,"MACROREGIUNEA 4"
41,39,"VRANCEA","VN",2,"SUD-EST",2,"MACROREGIUNEA 2"
42,40,"MUNICIPIUL BUCURESTI","B",8,"BUCURESTI-ILFOV",3,"MACROREGIUNEA 3"
