cod_act,sort,den_act
1,1,"Agricultura, vanatoare si servicii anexe"
2,2,"Silvicultura si exploatare forestiera"
3,3,"Pescuitul si acvacultura"
5,4,"Extractia carbunelui superior si inferior"
6,5,"Extractia petrolului brut si a gazelor naturale"
7,6,"Extractia minereurilor metalifere"
8,7,"Alte activitati extractive"
9,8,"Activitati de servicii anexe extractiei"
10,9,"Industria alimentara"
11,10,"Fabricarea bauturilor"
12,11,"Fabricarea produselor din tutun"
13,12,"Fabricarea produselor textile"
14,13,"Fabricarea articolelor de imbracaminte"
15,14,"Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie, harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor"
16,15,"Prelucrarea lemnului, fabricarea produselor din lemn si pluta, cu exceptia mobilei; fabricarea articolelor din paie si din materiale vegetale impletite"
17,16,"Fabricarea hartiei si a produselor din hartie"
18,17,"Tiparire si reproducerea pe suporti a inregistrarilor"
19,18,"Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului"
20,19,"Fabricarea substantelor si a produselor chimice"
21,20,"Fabricarea produselor farmaceutice de baza si a produselor farmaceutice"
22,21,"Fabricarea produselor din cauciuc si mase plastice"
23,22,"Fabricarea altor produse din minerale nemetalice"
24,23,"Industria metalurgica"
25,24,"Industria constructiilor metalice si a produselor din metal, exclusiv masini, utilaje si instalatii"
26,25,"Fabricarea calculatoarelor si a produselor electronice si optice"
27,26,"Fabricarea echipamentelor electrice"
28,27,"Fabricarea de masini, utilaje si echipamente n.c.a."
29,28," Fabricarea autovehiculelor de transport rutier, a remorcilor si semiremorcilor"
30,29,"Fabricarea altor mijloace de transport"
31,30,"Fabricarea de mobila"
32,31,"Alte activitati industriale n.c.a."
33,32,"Repararea, intretinerea si instalarea masinilor si echipamentelor"
35,33,"Productia si furnizarea de energie electrica si termica, gaze, apa calda si aer conditionat"
36,34,"Captarea, tratarea si distributia apei"
37,35,"Colectarea si epurarea apelor uzate"
38,36,"Colectarea, tratarea si eliminarea deseurilor; activitati de recuperare a materialelor reciclabile"
39,37,"Activitati si servicii de decontaminare"
41,38,"Constructii de cladiri"
42,39,"Lucrari de geniu civil"
43,40,"Lucrari speciale de constructii"
45,41,"Comert cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor"
46,42,"Comert cu ridicata cu exceptia comertului cu autovehicule si motociclete"
47,43,"Comert cu amanuntul, cu exceptia autovehiculelor si motocicletelor"
49,44,"Transporturi terestre si transporturi prin conducte"
50,45,"Transporturi pe apa"
51,46,"Transporturi aeriene"
52,47,"Depozitare si activitati auxiliare pentru transporturi"
53,48,"Activitatt de posta si de curierat"
55,49,"Hoteluri si alte facilitati de cazare"
56,50,"Restaurante si alte activitati de servicii de alimentatie"
58,51,"Activitati de editare"
59,52,"Activitati de productie cinematografica, video si de programe de televiziune; inregistrari audio si activitati de editare muzicala"
60,53,"Activitati de difuzare si transmitere de programe"
61,54,"Telecomunicatii"
62,55,"Activitati de servicii in tehnologia informatiei"
63,56,"Activitati de servicii informatice"
64,57,"Intermedieri financiare, cu exceptia activitatilor de asigurari si ale fondurilor de pensii"
65,58,"Activitat de asigurari, reasigurari,si ale fondurilor de pensii (cu exceptia celor din sistemul public de asigurari sociale)"
66,59," Activitati auxiliareintermedierilor financiare, activitati de asigurare si fonduri de pensii"
68,60,"Tranzactii imobiliare"
69,61,"Activitati juridice si de contabilitate"
70,62,"Activitati ale directiilor (centralelor), birourilor administrative centralizate; activitati de management si de consultanta in management"
71,63,"Activitati de arhitectura si inginerie; activitati de testari si analiza tehnica"
72,64,"Cercetare-dezvoltare"
73,65,"Publicitate si activitati de studiere a pietei"
74,66,"Alte activitati profesionale, stiintifice si tehnice"
75,67,"Activitati veterinare"
77,68,"Activitati de inchiriere si leasing"
78,69,"Activitati de servicii privind forta de munca"
79,70,"Activitati ale agentiilor turistice si a tur-operatorilor; alte servicii de rezervare si asistenta turistica"
80,71,"Activitati de investigatii si protectie"
81,72,"Activitati de peisagistica si servicii pentru cladiri"
82,73,"Activitati de secretariat, servicii suport si alte activitati de servicii prestate in principal intreprinderilor"
84,74,"Administratie publica si aparare; asigurari sociale din sistemul public"
85,75,"Invatamant"
86,76,"Activitati referitoare la sanatatea umana"
87,77,"Servicii combinate de ingrijire medicala si asistenta sociala cu cazare"
88,78,"Activitati de asistenta sociala, fara cazare"
90,79,"Activitati de creatie si interpetare artistica"
91,80,"Activitati ale bibliotecilor, arhivelor, muzeelor si alte activitati culturale"
92,81,"Activitati de jocuri de noroc si pariuri"
93,82,"Activitati sportive, recreative si distractive"
94,83," Activitati asociative diverse"
95,84,"Reparatii de calculatoare, de articole personale si de uz gospodaresc"
96,85,"Alte activitati de servicii"
97,86,"Activitati ale gospodariilor private in calitate de angajator de personal casnic"
98,87,"Activitati ale gospodariilor private de producere de bunuri si servicii destinate consumului propriu"
99,88,"Activitati ale organizatiilor si organismelor internationale"
44,89,"Activitate nedeclarata"
