cod_et,sort,den_et
1001,1,"Roman"
1002,2,"Aroman"
1003,3,"Cic"
1004,4,"Istroroman"
1005,5,"Macedoroman"
1006,6,"Meglenoroman"
1007,7,"Vlah"
1101,8,"Maghiar"
1102,9,"Ungur"
1103,10,"Secui"
1201,11,"Rom"
1202,12,"Baies"
1203,13,"Boldean"
1204,14,"Castal"
1205,15,"Caldarar"
1206,16,"Caramidar"
1207,17,"Cocalar"
1208,18,"Gabor"
1209,19,"Geambas"
1210,20,"Laies"
1211,21,"Lautar"
1212,22,"Pletos"
1213,23,"Rudar"
1214,24,"Spoitor"
1215,25,"Tigan"
1216,26,"Tigan de matase"
1217,27,"Ursar"
1218,28,"Vatras"
1219,29,"Zarzavagiu"
1301,30,"German"
1302,31,"Landler"
1303,32,"Neamt"
1304,33,"Sas"
1305,34,"Svab"
1306,35,"Tiptar"
1401,36,"Ucrainean"
1402,37,"Hahol"
1403,38,"Hutul"
1501,39,"Sarb"
1601,40,"Turc"
1701,41,"Tatar"
1801,42,"Slovac"
1901,43,"Evreu"
2001,44,"Rus"
2002,45,"Lipovean"
2101,46,"Bulgar"
2201,47,"Ceh"
2301,48,"Croat"
2401,49,"Grec"
2402,50,"Elen"
2501,51,"Polonez"
2601,52,"Armean"
2801,53,"Rutean"
2802,54,"Rusin"
2901,55,"Italian"
3001,56,"Albanez"
3002,57,"Shqiptar"
3101,58,"Macedonean"
3102,59,"Macedo-slav"
3201,60,"Ceangau"
3202,61,"Carasovean"
3203,62,"Gagauz"
3204,63,"Chinez"
3205,64,"Alta etnie din tari ale Uniunii Europene"
3206,65,"Alta etnie din celelalte tari ale Europei"
3207,66,"Alta etnie din tari din afara Europei"
9999,67,"Etnie nedeclarata"
