cod_lm,sort,den_lm
1001,1,"Romana"
1002,2,"Aromana"
1005,3,"Macedoromana"
1101,4,"Maghiara"
1102,5,"Ungara"
1103,6,"Secuiasca"
1201,7,"Romani"
1301,8,"Germana"
1304,9,"Saseasca"
1305,10,"Svaba"
1401,11,"Ucraineana"
1501,12,"Sarba"
1601,13,"Turca"
1701,14,"Tatara"
1801,15,"Slovaca"
1901,16,"Idis"
1902,17,"Ebraica (Ivrit)"
2001,18,"Rusa"
2002,19,"Lipoveana"
2101,20,"Bulgara"
2201,21,"Ceha"
2301,22,"Croata"
2401,23,"Greaca"
2402,24,"Elena"
2501,25,"Poloneza"
2601,26,"Armeana"
2801,27,"Ruteana"
2802,28,"Rusina"
2901,29,"Italiana"
3001,30,"Albaneza"
3101,31,"Macedoneana"
3202,32,"Carasoveana"
3203,33,"Gagauza"
3204,34,"Chineza"
3205,35,"Alta limba materna din tarile Uniunii Europene"
3206,36,"Alta limba materna din celelalte tari ale Europei"
3207,37,"Alta limba materna din tari din afara Europei"
9999,38,"Limba materna nedeclarata"
