cod_ocup,sort,den_ocup
1111,1,"Legislatori, membri ai executivului"
1112,2,"Inalti conducatori ai administratiei publice"
1113,3,"Conducatori si membri ai consiliilor locale"
1114,4,"Conducatori si alti functionari superiori din organizatiile specializate"
1120,5,"Directori generali, directori executivi si asimilati"
1211,6,"Conducatori in domeniul financiar"
1212,7,"Conducatori in domeniul resurselor umane"
1213,8,"Conducatori in domeniul politicilor economice si al planificarii"
1219,9,"Directori de intreprinderi si conducatori din domeniul administrativ neclasificati in grupele de baza anterioare"
1221,10,"Conducatori in domeniul vanzari si marketing"
1222,11,"Conducatori in domeniul publicitatii si relatiilor publice"
1223,12,"Conducatori in domeniul cercetarii si dezvoltarii"
1311,13,"Conducatori de unitati din agricultura si silvicultura"
1312,14,"Conducatori de unitati  din domeniul acvaculturii si pescuitului"
1321,15,"Conducatori de unitati  din industria prelucratoare"
1322,16,"Conducatori de unitati  din industria extractiva"
1323,17,"Conducatori de unitati  din domeniul constructiilor"
1324,18,"Conducatori de unitati   din domeniul aprovizionarii si desfacerii de marfuri"
1330,19,"Conducatori in servicii de tehnologia informatiei si comunicatiilor"
1341,20,"Conducatori de unitati  din domeniul ingrijirii copilului"
1342,21,"Conducatori de unitati  din domeniul sanatatii"
1343,22,"Conducatori de unitati  din domeniul ingrijirii persoanelor in varsta"
1344,23,"Conducatori de unitati din domeniul asistentei sociale"
1345,24,"Conducatori de unitati  de invatamant"
1346,25,"Conducatori de unitati  furnizoare de servicii financiare si de asigurari"
1349,26,"Conducatori de unitati de prestari servicii neclasificati in grupele de baza anterioare"
1411,27,"Conducatori de unitati hoteliere"
1412,28,"Conducatori de restaurante"
1420,29,"Conducatori de unitati din domeniul comertului"
1431,30,"Conducatori de centre sportive, recreative si culturale"
1439,31,"Conducatori ai altor tipuri de unitati de servicii neclasificati in grupele de baza anterioare"
2111,32,"Fizicieni si astronomi"
2112,33,"Meteorologi"
2113,34,"Chimisti"
2114,35,"Geologi si geofizicieni"
2120,36,"Matematicieni, actuari si statisticieni"
2131,37,"Biologi, botanisti, zoologi si asimilati"
