cod_rel,sort,den_rel
10,1,"Ortodoxa"
11,2,"Ortodoxa sarba"
12,3,"Romano-catolica"
13,4,"Greco-catolica (Biserica Romana Unita cu Roma)"
14,5,"Reformata"
15,6,"Evanghelica de confesiune augustana"
16,7,"Evanghelica Lutherana (Biserica Evanghelica Lutherana din Romania)"
17,8,"Unitariana"
18,9,"Armeana"
19,10,"Crestina de rit vechi"
20,11,"Baptista"
21,12,"Penticostala (Biserica lui Dumnezeu Apostolica)"
22,13,"Adventista de ziua a saptea"
23,14,"Crestina dupa Evanghelie"
24,15,"Evanghelica (Biserica Evanghelica Romana)"
25,16,"Musulmana"
26,17,"Mozaica"
27,18,"Martorii lui Iehova"
28,19,"Alte religii"
29,20,"Fara religie"
30,21,"Ateu"
99,22,"Religie nedeclarata"
