cod_tara,sort,den_tara
4,1,"Afghanistan"
8,2,"Albania"
12,3,"Algeria"
16,4,"Samoa Americana"
20,5,"Andorra"
24,6,"Angola"
28,7,"Antigua si Barbuda"
31,8,"Azerbaidjan"
32,9,"Argentina"
36,10,"Australia"
40,11,"Austria"
44,12,"Bahamas"
48,13,"Bahrain"
50,14,"Bangladesh"
51,15,"Armenia"
52,16,"Barbados"
56,17,"Belgia"
60,18,"Bermuda"
64,19,"Bhutan"
68,20,"Bolivia"
70,21,"Bosnia si Heregovina"
72,22,"Botswana"
76,23,"Brazilia"
84,24,"Belize"
90,25,"Insulele Solomon"
92,26,"Insulele Virgine Brianice"
96,27,"Brunei Darussalam"
100,28,"Bulgaria"
104,29,"Myanmar"
108,30,"Burundi"
112,31,"Belarus"
116,32,"Cambodia"
120,33,"Camerun"
124,34,"Canada"
132,35,"Capul Verde"
136,36,"Insulele Cayman"
140,37,"Republica Cenrafricana"
144,38,"Sri Lanka"
148,39,"Ciad"
152,40,"Chile"
156,41,"China"
170,42,"Columbia"
174,43,"Insulele Comore"
175,44,"Mayotte"
178,45,"Congo"
180,46,"Republica Demcratica Congo"
184,47,"Insulele Cook"
188,48,"Costa Rica"
191,49,"Croatia"
192,50,"Cuba"
196,51,"Cipru"
203,52,"Republica Ceha"
204,53,"Benin"
208,54,"Danemarca"
212,55,"Dominica"
214,56,"Republica Domnicana"
218,57,"Ecuador"
222,58,"El Salvador"
226,59,"Guinea Ecuatoriala"
231,60,"Etiopia"
232,61,"Eritreea"
233,62,"Estonia"
234,63,"Insulele Faeroe"
238,64,"Insulele Falkland (Mavine)"
242,65,"Fiji"
246,66,"Finlanda"
248,67,"Insulele Åland"
250,68,"Franta"
254,69,"Guiana Franceza"
258,70,"Polinezia Franceza"
262,71,"Djibouti"
266,72,"Gabon"
268,73,"Georgia"
270,74,"Gambia"
275,75,"Palestina"
276,76,"Germania"
288,77,"Ghana"
292,78,"Gibraltar"
296,79,"Kiribati"
300,80,"Grecia"
304,81,"Groenlanda"
308,82,"Grenada"
312,83,"Guadeloupe"
316,84,"Guam"
320,85,"Guatemala"
324,86,"Guinea"
328,87,"Guyana"
332,88,"Haiti"
336,89,"Vatican"
340,90,"Honduras"
344,91,"Hong Kong"
348,92,"Ungaria"
352,93,"Islanda"
356,94,"India"
360,95,"Indonezia"
364,96,"Iran"
368,97,"Iraq"
372,98,"Irlanda"
376,99,"Israel"
380,100,"Italia"
384,101,"Coasta de Fildes"
388,102,"Jamaica"
392,103,"Japonia"
398,104,"Kazakhstan"
400,105,"Iordania"
404,106,"Kenya"
408,107,"Coreea de Nord"
410,108,"Coreea de Sud"
414,109,"Kuwait"
417,110,"Kyrgyzstan"
418,111,"Laos"
422,112,"Liban"
426,113,"Lesotho"
428,114,"Letonia"
430,115,"Liberia"
434,116,"Libia"
438,117,"Liechtenstein"
440,118,"Lituania"
442,119,"Luxembourg"
446,120,"Macao"
450,121,"Madagascar"
454,122,"Malawi"
458,123,"Malaysia"
462,124,"Maldives"
466,125,"Mali"
470,126,"Malta"
474,127,"Martinica"
478,128,"Mauritania"
480,129,"Mauritius"
484,130,"Mexic"
492,131,"Monaco"
496,132,"Mongolia"
498,133,"Republica Moldova"
