cod_sc,sort,den_sc
1,1,"Invatamant superior tehnic de lunga durata - Mine"
2,2,"Invatamant superior tehnic de lunga durata - Petrol si ge"
3,3,"Invatamant superior tehnic de lunga durata - Energie electrica si electrotehnica"
4,4,"Invatamant superior tehnic e lunga durata - Metalurgie"
5,5,"Invatamant superior tehnic de lunga durata - Constructii de masini profil electric"
6,6,"Invatamant superior tehnic de lunga durata - Constructii de masini profil electromecanic"
7,7,"Invatamant superior tehnic de lunga durata - Constructii de masini profil electromecanic  mecatronica si robotica"
8,8,"Invatamant superior tehnic de lunga durata - Constructii de masini profil mecanic si alte profiluri tehnice"
9,9,"Invatamant superior tehnic de lunga durata - Tehnologie chimica"
10,10,"Invatamant superio tehnicr de lunga durata - Industria lemnului si materialelor de constructii"
11,11,"Invatamant superior tehnic de lunga durata - Industria usoara"
12,12,"Invatamant superior tehnic de lunga durata - Industria alimentara"
13,13,"Invatamant superio tehnicr de lunga durata - Inginerie economica si management"
14,14,"Invatamant superior tehnic de lunga durata - Ingineria mediului"
15,15,"Invatamant superior tehnic de lunga durata - Calculatoare si tehnologia informatiei"
16,16,"Invatamant superio tehnicr de lunga durata - Constructii si geodezie"
17,17,"Invatamant superior tehnic de lunga durata - Arhitectura si urbanism"
18,18,"Invatamant superior tehnic de lunga durata - Agricol"
19,19,"Invatamant superior tehnic de lunga durata - Zootehnic"
20,20,"Invatamant superior tehnic de lunga durata - Medicina veterinara"
21,21,"Invatamant superior tehnic de lunga durata - Silvicultura"
22,22,"Invatamant superior tehnic de lunga durata - Transporturi si telecomunicatii"
23,23,"Invatamant superio tehnicr de lunga durata - Alte specialitati tehnice"
24,24,"Invatamant superior universitar de lunga durata - Matematica, chimie, fizica, informatica"
25,25,"Invatamant superio universitarr de lunga durata - Biologie, geografie, geologie, stiinta mediului"
26,26,"Invatamant superior universitar de lunga durata - Filologie, filosofie, istorie, limbi moderne aplicate, studii culturale"
27,27,"Invatamant superior universitar de lunga durata - Sociologie, psihologie, asistenta sociala"
28,28,"Invatamant superior universitar de lunga durata - Stiinte politice si administrative, relatii internationale si studii europene, stiinte ale comunicarii (jurnalism)"
29,29,"Invatamant superior universitar de lunga durata - Educatie fizica si sport"
30,30,"Invatamant superio universitarr de lunga durata - Pedagogie (Stiinte ale educatiei)"
31,31,"Invatamant superior universitar de lunga durata - Teologie"
32,32,"Invatamant superior de lunga durata - Stiinte economice"
33,33,"Invatamant superior de lunga durata  - Stiinte juridice"
34,34,"Invatamant superior de lunga durata - Medico-farmaceutic  Farmaceutic"
35,35,"Invatamant superior de lunga durata- Medico-farmaceutic  Medicina generala"
36,36,"Invatamant superior de lunga durata- Medico-farmaceutic  Stomatologie (medicina dentara)"
37,37,"Invatamant superior artistic de lunga durata - Arte plastice si decorative"
38,38,"Invatamant superior artistic de lunga durata - Muzica"
39,39,"Invatamant superior artistic de lunga durata - Arta teatrala"
40,40,"Invatamant superio artisticr de lunga durata - Cinematografie si media"
41,41,"Invatamant superior de scurta durata - Mine, petrol, geologie, tehnologie chimica"
